url	first_seen	portal	title	company	status	location
https://jobs.ashbyhq.com/elevenlabs/e8cf6379-6a95-4317-a7fd-52028510f432	2026-07-17	ashby-api	Enterprise Demand Generation	ElevenLabs	added	Remote		2026-07-13
https://job-boards.eu.greenhouse.io/parloa/jobs/4843556101	2026-07-17	greenhouse-api	GTM Engineer	Parloa	added	Remotely in the USA		2026-04-16
https://job-boards.eu.greenhouse.io/parloa/jobs/4694390101	2026-07-17	greenhouse-api	Operations Manager, Solution Engineering & Services	Parloa	added	New York Office; Remotely in the USA		2025-10-16
https://job-boards.greenhouse.io/airtable/jobs/8602201002	2026-07-17	greenhouse-api	Director, AI Transformation & Customer Success	Airtable	added	Remote - US		2026-06-25
https://job-boards.greenhouse.io/airtable/jobs/8382119002	2026-07-17	greenhouse-api	Senior Manager, Marketing AI Operations	Airtable	added	San Francisco, CA; New York, NY; Austin, TX; Remote - US		2026-06-23
https://job-boards.greenhouse.io/humeai/jobs/4775962008	2026-07-17	greenhouse-api	AI Researcher	Hume AI	added	NYC, San Jose, or Remote		2025-06-20
https://job-boards.greenhouse.io/humeai/jobs/4003488008	2026-07-17	greenhouse-api	Senior/Staff AI Research Engineer	Hume AI	added	NYC, San Jose, or Remote		2024-02-23
https://job-boards.greenhouse.io/anthropic/jobs/5183044008	2026-07-17	greenhouse-api	Anthropic Fellows Program, AI Safety	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA		2026-04-10
https://job-boards.greenhouse.io/anthropic/jobs/5030244008	2026-07-17	greenhouse-api	Anthropic Fellows Program, AI Security	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA		2025-12-11
https://job-boards.greenhouse.io/arizeai/jobs/5989512004	2026-07-17	greenhouse-api	AI Application Engineer, APJ	Arize AI	added	Remote (Singapore)		2026-05-06
https://job-boards.greenhouse.io/arizeai/jobs/5818115004	2026-07-17	greenhouse-api	AI Product Manager	Arize AI	added	United States (Remote)		2026-03-03
https://job-boards.greenhouse.io/arizeai/jobs/5793354004	2026-07-17	greenhouse-api	AI Sales Engineer, EMEA	Arize AI	added	EMEA (Remote)		2026-02-05
https://job-boards.greenhouse.io/arizeai/jobs/5792327004	2026-07-17	greenhouse-api	AI Sales Engineer, US	Arize AI	added	Remote (United States)		2026-02-05
https://job-boards.greenhouse.io/arizeai/jobs/5989503004	2026-07-17	greenhouse-api	AI Solutions Manager, APJ	Arize AI	added	Remote (Singapore)		2026-05-06
https://job-boards.greenhouse.io/arizeai/jobs/6030903004	2026-07-17	greenhouse-api	AI Solutions Manager, Digital Native	Arize AI	added	Remote (San Francisco)		2026-06-15
https://job-boards.greenhouse.io/arizeai/jobs/6030902004	2026-07-17	greenhouse-api	AI Solutions Manager, East	Arize AI	added	Remote (New York)		2026-06-15
https://job-boards.greenhouse.io/arizeai/jobs/5989510004	2026-07-17	greenhouse-api	AI Solutions Manager, EMEA	Arize AI	added	Remote (EMEA)		2026-05-06
https://job-boards.greenhouse.io/arizeai/jobs/5987435004	2026-07-17	greenhouse-api	AI Solutions Manager, SMB	Arize AI	added	Remote (United States)		2026-05-04
https://job-boards.greenhouse.io/arizeai/jobs/5783026004	2026-07-17	greenhouse-api	AI Solutions Manager, West	Arize AI	added	Remote (San Francisco)		2026-01-29
https://job-boards.greenhouse.io/arizeai/jobs/5995824004	2026-07-17	greenhouse-api	Cloud & AI Technology Partner Manager	Arize AI	added	Remote (United States)		2026-05-13
https://job-boards.greenhouse.io/arizeai/jobs/5980312004	2026-07-17	greenhouse-api	DevSecOps Engineer (TypeScript & Agentic AI)	Arize AI	added	Remote/Hybrid (SoCal)		2026-04-29
https://job-boards.greenhouse.io/arizeai/jobs/5993755004	2026-07-17	greenhouse-api	Forward Deployed AI Engineer, East	Arize AI	added	Remote (New York)		2026-05-11
https://job-boards.greenhouse.io/arizeai/jobs/5781408004	2026-07-17	greenhouse-api	Forward Deployed AI Engineer, EMEA	Arize AI	added	Remote (EMEA)		2026-02-02
